prompt_id	variation	prompt	category
0	0	A red 3d-rendered pyramid on a grey background	abstract
0	1	A 3D-rendered red pyramid against a grey background	abstract
0	2	A red pyramid in 3D rendering on a grey backdrop	abstract
0	3	A 3D red pyramid set on a grey background	abstract
0	4	A grey background with a red 3D-rendered pyramid	abstract
1	0	A blue 3d-rendered cube.	abstract
1	1	A 3D-rendered cube in blue.	abstract
1	2	A cube rendered in 3D with a blue color.	abstract
1	3	A blue cube created with 3D rendering.	abstract
1	4	A 3D model of a cube in blue.	abstract
2	0	A red pyramid in a forest.	abstract
2	1	A crimson pyramid within a woodland.	abstract
2	2	A scarlet pyramid located in a forest.	abstract
2	3	A ruby pyramid standing amidst trees in a forest.	abstract
2	4	A red-colored pyramid situated in a forest.	abstract
3	0	A pyramid with black and white stripes.	abstract
3	1	A pyramid featuring black and white stripes.	abstract
3	2	A pyramid adorned with stripes in black and white.	abstract
3	3	A striped pyramid in black and white.	abstract
3	4	A pyramid with alternating black and white stripes.	abstract
4	0	A yellow ball on grass.	abstract
4	1	A yellow-colored ball on the grass.	abstract
4	2	A ball in yellow color resting on grass.	abstract
4	3	On the grass, a yellow ball.	abstract
4	4	A yellow ball placed on the grassy surface.	abstract
5	0	A slab of metal in the desert.	abstract
5	1	A slab of metal standing in a desert.	abstract
5	2	A single slab made of metal in the arid desert.	abstract
5	3	A lone metal slab in the middle of the desert.	abstract
5	4	A slab of metal in the desert landscape.	abstract
6	0	A yellow cylinder on a white background.	abstract
6	1	A yellow cylindrical polygon against a white background.	abstract
6	2	A yellow cylinder set on a white backdrop.	abstract
6	3	A yellow cylinder on a white background.	abstract
6	4	A yellow multi-sided cylinder on a plain white surface.	abstract
7	0	An orange trapezoid in front of a brick wall.	abstract
7	1	An orange-colored trapezoid placed before a brick wall.	abstract
7	2	A trapezoid in orange hue located in front of a wall made of bricks.	abstract
7	3	A brick wall with an orange trapezoid positioned in front of it.	abstract
7	4	An orange trapezoid situated before a brickwork wall.	abstract
8	0	A green dodecahedron.	abstract
8	1	A dodecahedron colored green.	abstract
8	2	A twelve-sided green polyhedron.	abstract
8	3	A green-shaded dodecahedron.	abstract
8	4	A green geometric shape with twelve faces.	abstract
9	0	A green 3d-rendered pyramid in white room.	abstract
9	1	A green 3D pyramid in a white room.	abstract
9	2	A white room with a green 3D-rendered pyramid.	abstract
9	3	In a white room, there is a green 3D pyramid.	abstract
9	4	A green pyramid rendered in 3D inside a white room.	abstract
10	0	A blue cone on a white background.	abstract
10	1	A blue-colored cone on a white backdrop.	abstract
10	2	A blue cone set against a white background.	abstract
10	3	A white background with a blue cone in front.	abstract
10	4	A blue cone placed on a white surface.	abstract
11	0	An orange sphere on a wooden table.	abstract
11	1	An orange-colored sphere resting on a wooden table.	abstract
11	2	An orange ball placed on a wooden surface.	abstract
11	3	A wooden table with an orange sphere on it.	abstract
11	4	A wooden table holding an orange sphere.	abstract
12	0	A green hexagon in the sky.	abstract
12	1	A green-colored hexagon floating in the sky.	abstract
12	2	A hexagon with a green hue in the sky.	abstract
12	3	A skyward hexagon colored green.	abstract
12	4	A green hexagon appearing in the sky.	abstract
